,Property name,Order ID,Order time,Source,Dispatch type,Channel,Sales channel name,Sales channel type,Payment method,Is preorder,Refund status,Gross sales,Tax on gross sales,Tips,Delivery charges,Service charges,DRS charges,Packaging charges,Additional charges,Charges,Revenue,Refunds,Revenue after refunds,Discounts
1,20 - Chocoberry - Cafe Cardiff,deliveroo.5261.urbanpiper.1086069195,2/23/2026 14:20,Deliveroo,Delivery,UrbanPiper,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,27.55,3.59,0,0,0,0,0,0,0,31.14,0,31.14,0
2,20 - Chocoberry - Cafe Cardiff,ubereats.7E40A.urbanpiper.1085703901,2/23/2026 1:40,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,9.6,0,0,0,0,0,0,0,0,9.6,0,9.6,0
3,20 - Chocoberry - Cafe Cardiff,ubereats.6296A.urbanpiper.1085703797,2/23/2026 1:39,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,40.85,3.56,0,0,0,0,0,0,0,44.41,0,44.41,-1.79
4,20 - Chocoberry - Cafe Cardiff,ubereats.81E9B.urbanpiper.1085702653,2/23/2026 1:24,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,16.2,0,0,0,0,0,0,0,0,16.2,0,16.2,0
5,20 - Chocoberry - Cafe Cardiff,ubereats.78DA2.urbanpiper.1085701986,2/23/2026 1:16,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,6.5,0,0,0,0,0,0,0,0,6.5,0,6.5,0
6,20 - Chocoberry - Cafe Cardiff,ubereats.C42F4.urbanpiper.1085701635,2/23/2026 1:12,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,23.81,1.6,0,0,0,0,0,0,0,25.41,0,25.41,-6.29
7,20 - Chocoberry - Cafe Cardiff,3183bd28-faa9-4c06-b324-b547e09f9fa6,2/23/2026 0:49,In store,Take Away,POS,Chocoberry Cardiff,POS,Credit,No,,7.5,0,0,0,0,0,0,0,0,7.5,0,7.5,0
8,20 - Chocoberry - Cafe Cardiff,2d90080f-67cb-4539-8763-6778a9078b0c,2/23/2026 0:48,In store,Take Away,POS,Chocoberry Cardiff,POS,Credit,No,,7.5,0,0,0,0,0,0,0,0,7.5,0,7.5,0
9,20 - Chocoberry - Cafe Cardiff,ubereats.5C683.urbanpiper.1085699611,2/23/2026 0:47,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,30.36,2.4,0,0,0,0,0,0,0,32.76,0,32.76,-21.84
10,20 - Chocoberry - Cafe Cardiff,e6634f0f-ca90-40cd-9ed1-2c2ac0150549,2/23/2026 0:46,In store,Collection,POS,Chocoberry Cardiff,POS,Credit,No,,20.08,3.42,0,0,0,0,0,0,0,23.5,0,23.5,0
11,20 - Chocoberry - Cafe Cardiff,fc7504ba-0f37-430c-b4ec-b1b755ce78f6,2/23/2026 0:44,In store,Collection,POS,Chocoberry Cardiff,POS,Credit,No,,16,0,0,0,0,0,0,0,0,16,0,16,0
12,20 - Chocoberry - Cafe Cardiff,deliveroo.3223.urbanpiper.1085699100,2/23/2026 0:42,Deliveroo,Delivery,UrbanPiper,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,11.85,0.15,0,0,0,0,0,0,0,12,0,12,0
13,20 - Chocoberry - Cafe Cardiff,deliveroo.0051.urbanpiper.1085697996,2/23/2026 0:30,Deliveroo,Delivery,UrbanPiper,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,32.72,1.36,0,0,0,0,0,0,0,34.08,0,34.08,-8.52
14,20 - Chocoberry - Cafe Cardiff,ubereats.5251C.urbanpiper.1085697991,2/23/2026 0:30,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,17.46,0,0,0,0,0,0,0,0,17.46,0,17.46,-11.64
15,20 - Chocoberry - Cafe Cardiff,ubereats.6B06B.urbanpiper.1085697633,2/23/2026 0:27,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,16.74,0,0,0,0,0,0,0,0,16.74,0,16.74,-11.16
16,20 - Chocoberry - Cafe Cardiff,88d65db2-2297-408f-a092-c783857dd40d,2/23/2026 0:25,In store,Take Away,POS,Chocoberry Cardiff,POS,Credit,No,,8,0,0,0,0,0,0,0,0,8,0,8,0
17,20 - Chocoberry - Cafe Cardiff,dfadd858-aab6-4233-8279-97189954b636,2/23/2026 0:24,In store,Take Away,POS,Chocoberry Cardiff,POS,Credit,No,,14.83,0.17,0,0,0,0,0,0,0,15,0,15,0
18,20 - Chocoberry - Cafe Cardiff,ubereats.F1569.urbanpiper.1085697327,2/23/2026 0:23,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,16.2,0,0,0,0,0,0,0,0,16.2,0,16.2,-10.8
19,20 - Chocoberry - Cafe Cardiff,ubereats.77FC6.urbanpiper.1085695263,2/23/2026 0:05,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,17.28,0,0,0,0,0,0,0,0,17.28,0,17.28,-11.52
20,20 - Chocoberry - Cafe Cardiff,f8954320-dbf4-48ea-b292-ff66c4786548,2/22/2026 23:57,In store,Take Away,POS,Chocoberry Cardiff,POS,Cash,No,,8.55,0,0,0,0,0,0,0,0,8.55,0,8.55,-0.95
21,20 - Chocoberry - Cafe Cardiff,6cd324dd-419e-4158-be29-5ad059e11d7d,2/22/2026 23:49,In store,Take Away,POS,Chocoberry Cardiff,POS,Credit,No,,5.42,1.08,0,0,0,0,0,0,0,6.5,0,6.5,0
22,20 - Chocoberry - Cafe Cardiff,deliveroo.8327.urbanpiper.1085692840,2/22/2026 23:46,Deliveroo,Delivery,UrbanPiper,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,17,3.4,0,0,0,0,0,0,0,20.4,0,20.4,0
23,20 - Chocoberry - Cafe Cardiff,b15ca3c7-401f-421f-a79b-cd0c9c9fd922,2/22/2026 23:44,In store,Take Away,POS,Chocoberry Cardiff,POS,Credit,No,,6.5,0,0,0,0,0,0,0,0,6.5,0,6.5,0
24,20 - Chocoberry - Cafe Cardiff,ubereats.81271.urbanpiper.1085692473,2/22/2026 23:43,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,19.21,0,0,0,0,0,0,0,0,19.21,0,19.21,-3.29
25,20 - Chocoberry - Cafe Cardiff,ubereats.819BF.urbanpiper.1085692299,2/22/2026 23:42,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,10.2,0,0,0,0,0,0,0,0,10.2,0,10.2,0
26,20 - Chocoberry - Cafe Cardiff,832decb5-4a34-42a3-a679-8f7da05f9e10,2/22/2026 23:42,In store,Take Away,POS,Chocoberry Cardiff,POS,Credit,No,,22.08,1.42,0,0,0,0,0,0,0,23.5,0,23.5,0
27,20 - Chocoberry - Cafe Cardiff,ubereats.5433C.urbanpiper.1085692230,2/22/2026 23:41,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,9.6,0,0,0,0,0,0,0,0,9.6,0,9.6,0
28,20 - Chocoberry - Cafe Cardiff,1d2c730e-77c9-4691-b3f7-4400254f24e3,2/22/2026 23:39,In store,Take Away,POS,Chocoberry Cardiff,POS,Credit,No,,14,0,0,0,0,0,0,0,0,14,0,14,0
29,20 - Chocoberry - Cafe Cardiff,5bea2bcc-d039-452d-bed9-65f7a49a0452,2/22/2026 23:34,In store,Dine In,POS,Chocoberry Cardiff,POS,Cash,No,,5.42,1.08,0,0,0,0,0,0,0,6.5,0,6.5,0
30,20 - Chocoberry - Cafe Cardiff,ubereats.288DB.urbanpiper.1085690863,2/22/2026 23:31,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,30.6,0,0,0,0,0,0,0,0,30.6,0,30.6,0
31,20 - Chocoberry - Cafe Cardiff,77cbc0ca-d525-43ef-8b19-83d8307b7c8d,2/22/2026 23:30,In store,Dine In,POS,Chocoberry Cardiff,POS,Credit,No,,14,0,0,0,0,0,0,0,0,14,0,14,0
32,20 - Chocoberry - Cafe Cardiff,59890a99-84af-44bf-a991-354b4f4dcb0f,2/22/2026 23:25,In store,Take Away,POS,Chocoberry Cardiff,POS,Credit,No,,13,0,0,0,0,0,0,0,0,13,0,13,0
33,20 - Chocoberry - Cafe Cardiff,ubereats.9A809.urbanpiper.1085689500,2/22/2026 23:22,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,19.2,0,0,0,0,0,0,0,0,19.2,0,19.2,0
34,20 - Chocoberry - Cafe Cardiff,b79bc04c-5086-47fe-a1d4-0911d4c2bd88,2/22/2026 23:22,In store,Take Away,POS,Chocoberry Cardiff,POS,Credit,No,,7.5,0,0,0,0,0,0,0,0,7.5,0,7.5,0
35,20 - Chocoberry - Cafe Cardiff,deliveroo.8100.urbanpiper.1085689093,2/22/2026 23:20,Deliveroo,Delivery,UrbanPiper,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,28.8,0,0,0,0,0,0,0,0,28.8,0,28.8,0
