,Property name,Order ID,Order time,Source,Dispatch type,Channel,Sales channel name,Sales channel type,Payment method,Is preorder,Refund status,Gross sales,Tax on gross sales,Tips,Delivery charges,Service charges,DRS charges,Packaging charges,Additional charges,Charges,Revenue,Refunds,Revenue after refunds,Discounts
1,20 - Chocoberry - Cafe Cardiff,deliveroo.6444.urbanpiper.1077060552,2/13/2026 0:49,Deliveroo,Delivery,UrbanPiper,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,10.5,0,0,0,0,0,0,0,0,10.5,0,10.5,0
2,20 - Chocoberry - Cafe Cardiff,ubereats.109C2.urbanpiper.1077060515,2/13/2026 0:49,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,49.2,0,0,0,0,0,0,0,0,49.2,0,49.2,0
3,20 - Chocoberry - Cafe Cardiff,dfba1b08-89e9-46de-82ac-b1ab71fe9420,2/13/2026 0:43,In store,Take Away,POS,Chocoberry Cardiff,POS,Credit,No,,1.67,0.33,0,0,0,0,0,0,0,2,0,2,0
4,20 - Chocoberry - Cafe Cardiff,5d3586d7-8e71-4f87-81f3-8891f451dfa1,2/13/2026 0:42,In store,Take Away,POS,Chocoberry Cardiff,POS,Credit,No,,6,0,0,0,0,0,0,0,0,6,0,6,0
5,20 - Chocoberry - Cafe Cardiff,ubereats.8BCAE.urbanpiper.1077059775,2/13/2026 0:42,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,22.5,0,0,0,0,0,0,0,0,22.5,0,22.5,0
6,20 - Chocoberry - Cafe Cardiff,b338c954-62a3-42fe-9e68-48f21b26b2ab,2/13/2026 0:37,In store,Take Away,POS,Chocoberry Cardiff,POS,Cash,No,,12,0,0,0,0,0,0,0,0,12,0,12,0
7,20 - Chocoberry - Cafe Cardiff,ce3d3452-a992-4ee5-bd9a-f68e02443f3b,2/13/2026 0:36,In store,Take Away,POS,Chocoberry Cardiff,POS,Credit,No,,8.83,1.17,0,0,0,0,0,0,0,10,0,10,0
8,20 - Chocoberry - Cafe Cardiff,ubereats.EB7E1.urbanpiper.1077058715,2/13/2026 0:32,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,13.2,0,0,0,0,0,0,0,0,13.2,0,13.2,0
9,20 - Chocoberry - Cafe Cardiff,justeats.ovv2sfmjouyurqwvvxktbq,2/13/2026 0:29,Just Eat,Delivery,JustEatDirect,Chocoberry Cardiff - JustEat,Just Eat,Paid online,No,,20.2,2,0,1.49,2.44,0,0,0,3.93,26.13,0,26.13,0
10,20 - Chocoberry - Cafe Cardiff,f5f984cd-b228-41bb-8e26-e0e943546b4a,2/13/2026 0:29,In store,Take Away,POS,Chocoberry Cardiff,POS,Credit,No,,6,0,0,0,0,0,0,0,0,6,0,6,0
11,20 - Chocoberry - Cafe Cardiff,085f4113-3b10-404f-87fa-1ea51e83af94,2/13/2026 0:28,In store,Take Away,POS,Chocoberry Cardiff,POS,Credit,No,,7.08,1.42,0,0,0,0,0,0,0,8.5,0,8.5,0
12,20 - Chocoberry - Cafe Cardiff,11ec92d3-175d-49ac-b311-f6dbc1c263cc,2/13/2026 0:27,In store,Take Away,POS,Chocoberry Cardiff,POS,Credit,No,,6,0,0,0,0,0,0,0,0,6,0,6,0
13,20 - Chocoberry - Cafe Cardiff,ubereats.95ECD.urbanpiper.1077058026,2/13/2026 0:24,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,15.5,0,0,0,0,0,0,0,0,15.5,0,15.5,0
14,20 - Chocoberry - Cafe Cardiff,deliveroo.9110.urbanpiper.1077057731,2/13/2026 0:22,Deliveroo,Delivery,UrbanPiper,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,21.12,0,0,0,0,0,0,0,0,21.12,0,21.12,-5.28
15,20 - Chocoberry - Cafe Cardiff,ef343dc3-5324-4b58-aef2-bac287a5ee63,2/13/2026 0:21,In store,Take Away,POS,Chocoberry Cardiff,POS,Credit,No,,15,0,0,0,0,0,0,0,0,15,0,15,0
16,20 - Chocoberry - Cafe Cardiff,acf899c6-971d-4102-bce5-a4d1775541e9,2/13/2026 0:20,In store,Take Away,POS,Chocoberry Cardiff,POS,Cash,No,,18.83,0.42,0,0,0,0,0,0,0,19.25,0,19.25,0
17,20 - Chocoberry - Cafe Cardiff,4c08cef5-fd24-4902-9915-3ed048ee8a00,2/13/2026 0:18,In store,Take Away,POS,Chocoberry Cardiff,POS,Cash,No,,19.75,0.5,0,0,0,0,0,0,0,20.25,0,20.25,0
18,20 - Chocoberry - Cafe Cardiff,ubereats.C6FC4.urbanpiper.1077056194,2/13/2026 0:07,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,14.2,0.8,0,0,0,0,0,0,0,15,0,15,0
19,20 - Chocoberry - Cafe Cardiff,ubereats.95744.urbanpiper.1077054977,2/12/2026 23:55,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,18.51,3.7,0,0,0,0,0,0,0,22.21,0,22.21,-1.79
20,20 - Chocoberry - Cafe Cardiff,af6643c8-f380-4bfd-8c6a-e865de970418,2/12/2026 23:54,In store,Dine In,POS,Chocoberry Cardiff,POS,Cash,No,,22.5,0,0,0,0,0,0,0,0,22.5,0,22.5,0
21,20 - Chocoberry - Cafe Cardiff,deliveroo.0159.urbanpiper.1077054529,2/12/2026 23:51,Deliveroo,Delivery,UrbanPiper,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,14.4,1.44,0,0,0,0,0,0,0,15.84,0,15.84,-3.96
22,20 - Chocoberry - Cafe Cardiff,e90c7f30-450d-4707-9917-c365c406d9ab,2/12/2026 23:47,In store,Take Away,POS,Chocoberry Cardiff,POS,Cash,No,,16.5,0,0,0,0,0,0,0,0,16.5,0,16.5,0
23,20 - Chocoberry - Cafe Cardiff,bb5d126a-a591-4e52-a436-f99425a2dde8,2/12/2026 23:46,In store,Take Away,POS,Chocoberry Cardiff,POS,Credit,No,,8,0,0,0,0,0,0,0,0,8,0,8,0
24,20 - Chocoberry - Cafe Cardiff,0018c3bc-132c-44d0-9e5b-2e39e6449640,2/12/2026 23:39,In store,Collection,POS,Chocoberry Cardiff,POS,Cash,No,,17.5,0,0,0,0,0,0,0,0,17.5,0,17.5,0
25,20 - Chocoberry - Cafe Cardiff,deliveroo.5190.urbanpiper.1077053052,2/12/2026 23:38,Deliveroo,Delivery,UrbanPiper,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,15.36,0,0,0,0,0,0,0,0,15.36,0,15.36,-3.84
26,20 - Chocoberry - Cafe Cardiff,deliveroo.4925.urbanpiper.1077052942,2/12/2026 23:37,Deliveroo,Delivery,UrbanPiper,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,14,2.8,0,0,0,0,0,0,0,16.8,0,16.8,0
27,20 - Chocoberry - Cafe Cardiff,047dee50-246f-4229-99f7-7ddcf3fac6ab,2/12/2026 23:26,In store,Dine In,POS,Chocoberry Cardiff,POS,Credit,No,,5.5,0,0,0,0,0,0,0,0,5.5,0,5.5,0
28,20 - Chocoberry - Cafe Cardiff,ubereats.28743.urbanpiper.1077051147,2/12/2026 23:23,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,8.5,1.7,0,0,0,0,0,0,0,10.2,0,10.2,0
29,20 - Chocoberry - Cafe Cardiff,61808599-4958-437e-ad66-af7e31ae11ab,2/12/2026 23:21,In store,Dine In,POS,Chocoberry Cardiff,POS,Credit,No,,12.66,2.34,0,0,0,0,0,0,0,15,0,15,0
30,20 - Chocoberry - Cafe Cardiff,ad050668-f2f6-48d5-9ff4-eec4b4d89e61,2/12/2026 23:18,In store,Dine In,POS,Chocoberry Cardiff,POS,Credit,No,,13.5,1,0,0,0,0,0,0,0,14.5,0,14.5,0
31,20 - Chocoberry - Cafe Cardiff,deliveroo.6740.urbanpiper.1077050514,2/12/2026 23:18,Deliveroo,Delivery,UrbanPiper,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,14.88,0,0,0,0,0,0,0,0,14.88,0,14.88,-3.72
32,20 - Chocoberry - Cafe Cardiff,ubereats.D8F94.urbanpiper.1077049850,2/12/2026 23:13,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,16.91,0,0,0,0,0,0,0,0,16.91,0,16.91,-2.29
33,20 - Chocoberry - Cafe Cardiff,deliveroo.0621.urbanpiper.1077048820,2/12/2026 23:06,Deliveroo,Delivery,UrbanPiper,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,15.6,0,0,0,0,0,0,0,0,15.6,0,15.6,0
34,20 - Chocoberry - Cafe Cardiff,7a7bb71a-7f72-4983-b65b-ce589e5fdd1a,2/12/2026 22:59,In store,Dine In,POS,Chocoberry Cardiff,POS,Cash,No,,1.5,0,0,0,0,0,0,0,0,1.5,0,1.5,0
35,20 - Chocoberry - Cafe Cardiff,7fd0552c-ab96-4085-8594-d6375bfb0850,2/12/2026 22:59,In store,Dine In,POS,Chocoberry Cardiff,POS,Cash,No,,7.42,1.08,0,0,0,0,0,0,0,8.5,0,8.5,0
36,20 - Chocoberry - Cafe Cardiff,cd7ff4fe-39ee-409a-812e-c1e0ef28b8d0,2/12/2026 22:58,In store,Take Away,POS,Chocoberry Cardiff,POS,Credit,No,,0.83,0.17,0,0,0,0,0,0,0,1,0,1,0
37,20 - Chocoberry - Cafe Cardiff,1998a033-ed2e-4bc7-9b12-c74c91d32f56,2/12/2026 22:57,In store,Take Away,POS,Chocoberry Cardiff,POS,Credit,No,,7,0,0,0,0,0,0,0,0,7,0,7,0
