Order time,Gross sales,Tax on gross sales,Tips,Charges,Refunds,Revenue,Revenue via Flipdish,Orders
2/21/2026,327.15,17.92,0,0,0,345.07,0,15
2/20/2026,"2,857.67",80.23,0,0,0,"2,937.90","1,635.04",197
2/19/2026,"2,378.08",73.64,0,0,0,"2,451.72","1,280.45",162
2/18/2026,"2,505.41",98.16,0,0,0,"2,603.57","1,542.35",163
2/17/2026,"2,952.82",154.01,0,0,0,"3,106.83","2,038.85",198
2/16/2026,"2,805.67",132.56,0,8.01,0,"2,946.24","2,008.00",181
2/15/2026,"4,118.70",177.37,0,9.41,0,"4,305.48","2,833.05",259
2/14/2026,"4,068.76",159.19,0,15.9,0,"4,243.85","3,144.85",277
2/13/2026,"2,855.31",128.9,0,4.43,8.5,"2,997.14","1,649.85",200
2/12/2026,"2,073.60",73.76,0,0,0,"2,147.36","1,305.43",151
2/11/2026,"2,198.34",80.7,0,6.48,0,"2,285.52","1,267.80",146
2/10/2026,"2,314.90",89.69,0,32.85,0,"2,437.44","1,292.10",158
2/9/2026,"1,931.47",87.23,0,5.81,0,"2,024.51","1,119.51",135
2/8/2026,"3,379.13",141.94,0,0,0,"3,521.07","1,974.70",207
,"36,767.02","1,495.29",0,82.89,8.5,"38,353.70","23,091.98","2,449"
